Wateryear,Month,Date,NDOI,WYindex,WYtype
2005,8,8/12/2005,5117,7.4,Below Normal
2005,8,8/13/2005,3899,7.4,Below Normal
2005,8,8/14/2005,4153,7.4,Below Normal
2005,8,8/15/2005,4565,7.4,Below Normal
2005,8,8/16/2005,5054,7.4,Below Normal
2005,8,8/17/2005,4856,7.4,Below Normal
2005,8,8/18/2005,4789,7.4,Below Normal
2005,8,8/19/2005,5301,7.4,Below Normal
2005,8,8/20/2005,5592,7.4,Below Normal
2005,8,8/21/2005,5531,7.4,Below Normal
2005,8,8/22/2005,5637,7.4,Below Normal
2005,8,8/23/2005,5513,7.4,Below Normal
2005,8,8/24/2005,5319,7.4,Below Normal
2005,8,8/25/2005,5947,7.4,Below Normal
2005,8,8/26/2005,6049,7.4,Below Normal
2005,8,8/27/2005,5817,7.4,Below Normal
2005,8,8/28/2005,5682,7.4,Below Normal
2005,8,8/29/2005,5321,7.4,Below Normal
2005,8,8/30/2005,5204,7.4,Below Normal
2005,8,8/31/2005,5160,7.4,Below Normal
2005,9,9/1/2005,5087,7.4,Below Normal
2005,9,9/2/2005,5706,7.4,Below Normal
2005,9,9/3/2005,5998,7.4,Below Normal
2005,9,9/4/2005,6304,7.4,Below Normal
2005,9,9/5/2005,6576,7.4,Below Normal
2005,9,9/6/2005,6222,7.4,Below Normal
2005,9,9/7/2005,6830,7.4,Below Normal
2005,9,9/8/2005,6605,7.4,Below Normal
2005,9,9/9/2005,6987,7.4,Below Normal
2005,9,9/10/2005,7806,7.4,Below Normal
2005,9,9/11/2005,7728,7.4,Below Normal
2005,9,9/12/2005,8117,7.4,Below Normal
2005,9,9/13/2005,8142,7.4,Below Normal
2005,9,9/14/2005,8152,7.4,Below Normal
2005,9,9/15/2005,7482,7.4,Below Normal
2005,9,9/16/2005,7169,7.4,Below Normal
2005,9,9/17/2005,8038,7.4,Below Normal
2005,9,9/18/2005,8015,7.4,Below Normal
2005,9,9/19/2005,8156,7.4,Below Normal
2005,9,9/20/2005,6928,7.4,Below Normal
2005,9,9/21/2005,6980,7.4,Below Normal
2005,9,9/22/2005,6870,7.4,Below Normal
2005,9,9/23/2005,6269,7.4,Below Normal
2005,9,9/24/2005,6683,7.4,Below Normal
2005,9,9/25/2005,7088,7.4,Below Normal
2005,9,9/26/2005,7139,7.4,Below Normal
2005,9,9/27/2005,7403,7.4,Below Normal
2005,9,9/28/2005,7577,7.4,Below Normal
2005,9,9/29/2005,6812,7.4,Below Normal
2005,9,9/30/2005,6661,7.4,Below Normal
2005,10,10/12/2004,4983,7.4,Below Normal
2006,10,10/1/2005,6736,13,Wet
2006,10,10/2/2005,7263,13,Wet
2006,10,10/4/2005,7035,13,Wet
2006,10,10/5/2005,6674,13,Wet
2006,10,10/6/2005,6214,13,Wet
2006,10,10/3/2005,7015,13,Wet
2006,10,10/8/2005,5710,13,Wet
2006,10,10/9/2005,5577,13,Wet
2006,10,10/10/2005,5326,13,Wet
2006,10,10/7/2005,5876,13,Wet
2006,10,10/11/2005,4658,13,Wet
2006,10,10/12/2005,4857,13,Wet
2006,10,10/13/2005,4813,13,Wet
2006,10,10/14/2005,4187,13,Wet
2006,10,10/15/2005,4426,13,Wet
2006,10,10/16/2005,4367,13,Wet
2006,10,10/17/2005,3179,13,Wet
2006,10,10/18/2005,2182,13,Wet
2006,10,10/19/2005,2693,13,Wet
2006,10,10/20/2005,1988,13,Wet
2006,10,10/21/2005,2007,13,Wet
2006,10,10/22/2005,2500,13,Wet
2006,10,10/23/2005,3089,13,Wet
2006,10,10/24/2005,3833,13,Wet
2006,10,10/25/2005,2866,13,Wet
2006,10,10/26/2005,3141,13,Wet
2006,10,10/27/2005,4343,13,Wet
2006,10,10/28/2005,3569,13,Wet
2006,10,10/29/2005,3763,13,Wet
2006,10,10/30/2005,4690,13,Wet
2006,10,10/31/2005,3906,13,Wet
2006,7,7/1/2006,19211,13,Wet
2006,7,7/2/2006,16371,13,Wet
2006,7,7/3/2006,14428,13,Wet
2006,7,7/4/2006,12638,13,Wet
2006,7,7/5/2006,11654,13,Wet
2006,7,7/6/2006,11502,13,Wet
2006,7,7/7/2006,11793,13,Wet
2006,7,7/8/2006,10663,13,Wet
2006,7,7/9/2006,9868,13,Wet
2006,7,7/10/2006,8640,13,Wet
2006,7,7/11/2006,7994,13,Wet
2006,7,7/12/2006,7929,13,Wet
2006,7,7/13/2006,8616,13,Wet
2006,7,7/14/2006,7481,13,Wet
2006,7,7/15/2006,8212,13,Wet
2006,7,7/16/2006,8778,13,Wet
2006,7,7/17/2006,9780,13,Wet
2006,7,7/18/2006,9136,13,Wet
2006,7,7/19/2006,9257,13,Wet
2006,7,7/20/2006,9583,13,Wet
2006,7,7/21/2006,9012,13,Wet
2006,7,7/22/2006,9058,13,Wet
2006,7,7/23/2006,9279,13,Wet
2006,7,7/24/2006,9904,13,Wet
2006,7,7/25/2006,10064,13,Wet
2006,7,7/26/2006,10008,13,Wet
2006,7,7/27/2006,10217,13,Wet
2006,7,7/28/2006,9882,13,Wet
2006,7,7/29/2006,9193,13,Wet
2006,7,7/30/2006,9040,13,Wet
2006,7,7/31/2006,8909,13,Wet
2006,8,8/1/2006,10054,13,Wet
2006,8,8/2/2006,9770,13,Wet
2006,8,8/3/2006,9200,13,Wet
2006,8,8/4/2006,8690,13,Wet
2006,8,8/5/2006,9450,13,Wet
2006,8,8/6/2006,8983,13,Wet
2006,8,8/7/2006,8643,13,Wet
2006,8,8/8/2006,8397,13,Wet
2006,8,8/9/2006,8032,13,Wet
2006,8,8/10/2006,7855,13,Wet
2006,8,8/11/2006,7580,13,Wet
2006,8,8/12/2006,7739,13,Wet
2006,8,8/13/2006,7722,13,Wet
2006,8,8/14/2006,7471,13,Wet
2006,8,8/15/2006,7292,13,Wet
2006,8,8/16/2006,8261,13,Wet
2006,8,8/17/2006,7984,13,Wet
2006,8,8/18/2006,8092,13,Wet
2006,8,8/19/2006,8234,13,Wet
2006,8,8/20/2006,8546,13,Wet
2006,8,8/21/2006,8853,13,Wet
2006,8,8/22/2006,8127,13,Wet
2006,8,8/23/2006,8336,13,Wet
2006,8,8/24/2006,9170,13,Wet
2006,8,8/25/2006,7756,13,Wet
2006,8,8/26/2006,7832,13,Wet
2006,8,8/27/2006,7592,13,Wet
2006,8,8/28/2006,7423,13,Wet
2006,8,8/29/2006,6539,13,Wet
2006,8,8/30/2006,6827,13,Wet
2006,8,8/31/2006,7002,13,Wet
2006,9,9/1/2006,7077,13,Wet
2006,9,9/2/2006,7092,13,Wet
2006,9,9/3/2006,7404,13,Wet
2006,9,9/4/2006,7573,13,Wet
2006,9,9/5/2006,7619,13,Wet
2006,9,9/6/2006,7155,13,Wet
2006,9,9/7/2006,7042,13,Wet
2006,9,9/8/2006,6599,13,Wet
2006,9,9/9/2006,7785,13,Wet
2006,9,9/10/2006,8036,13,Wet
2006,9,9/11/2006,8141,13,Wet
2006,9,9/12/2006,8661,13,Wet
2006,9,9/13/2006,9373,13,Wet
2006,9,9/14/2006,8514,13,Wet
2006,9,9/15/2006,9954,13,Wet
2006,9,9/16/2006,9516,13,Wet
2006,9,9/17/2006,9545,13,Wet
2006,9,9/18/2006,9808,13,Wet
2006,9,9/19/2006,9494,13,Wet
2006,9,9/20/2006,8824,13,Wet
2006,9,9/21/2006,8689,13,Wet
2006,9,9/22/2006,8728,13,Wet
2006,9,9/23/2006,8370,13,Wet
2006,9,9/24/2006,8064,13,Wet
2006,9,9/25/2006,7728,13,Wet
2006,9,9/26/2006,7221,13,Wet
2006,9,9/27/2006,6985,13,Wet
2006,9,9/28/2006,6152,13,Wet
2006,9,9/29/2006,5170,13,Wet
2006,9,9/30/2006,5286,13,Wet
2009,10,10/1/2008,2628,5.5,Dry
2009,10,10/2/2008,2288,5.5,Dry
2009,10,10/3/2008,2585,5.5,Dry
2009,10,10/5/2008,4456,5.5,Dry
2009,10,10/6/2008,4559,5.5,Dry
2009,10,10/7/2008,4627,5.5,Dry
2009,10,10/4/2008,3383,5.5,Dry
2009,10,10/8/2008,3925,5.5,Dry
2009,10,10/9/2008,3204,5.5,Dry
2009,10,10/10/2008,3236,5.5,Dry
2009,10,10/11/2008,3146,5.5,Dry
2009,10,10/12/2008,3339,5.5,Dry
2009,10,10/13/2008,3813,5.5,Dry
2009,10,10/14/2008,3603,5.5,Dry
2009,10,10/15/2008,3210,5.5,Dry
2009,10,10/16/2008,2439,5.5,Dry
2009,10,10/17/2008,1621,5.5,Dry
2009,10,10/18/2008,1130,5.5,Dry
2009,10,10/19/2008,1995,5.5,Dry
2009,10,10/20/2008,2824,5.5,Dry
2009,10,10/21/2008,3342,5.5,Dry
2009,10,10/22/2008,3052,5.5,Dry
2009,10,10/23/2008,2640,5.5,Dry
2009,10,10/24/2008,2755,5.5,Dry
2009,10,10/25/2008,2566,5.5,Dry
2009,10,10/26/2008,2314,5.5,Dry
2009,10,10/27/2008,2216,5.5,Dry
2009,10,10/28/2008,3017,5.5,Dry
2009,10,10/29/2008,3224,5.5,Dry
2009,10,10/30/2008,5111,5.5,Dry
2009,10,10/31/2008,6521,5.5,Dry
2009,7,7/16/2009,7020,5.5,Dry
2009,7,7/1/2009,5881,5.5,Dry
2009,7,7/2/2009,5356,5.5,Dry
2009,7,7/3/2009,4662,5.5,Dry
2009,7,7/4/2009,4727,5.5,Dry
2009,7,7/5/2009,5148,5.5,Dry
2009,7,7/6/2009,6240,5.5,Dry
2009,7,7/7/2009,5866,5.5,Dry
2009,7,7/8/2009,5688,5.5,Dry
2009,7,7/9/2009,5101,5.5,Dry
2009,7,7/10/2009,5208,5.5,Dry
2009,7,7/11/2009,5650,5.5,Dry
2009,7,7/12/2009,5639,5.5,Dry
2009,7,7/13/2009,6015,5.5,Dry
2009,7,7/14/2009,5923,5.5,Dry
2009,7,7/15/2009,7793,5.5,Dry
2009,8,8/25/2009,4129,5.5,Dry
2009,7,7/17/2009,5431,5.5,Dry
2009,7,7/18/2009,4274,5.5,Dry
2009,7,7/19/2009,4085,5.5,Dry
2009,7,7/20/2009,4090,5.5,Dry
2009,7,7/21/2009,4208,5.5,Dry
2009,7,7/22/2009,3502,5.5,Dry
2009,7,7/23/2009,3313,5.5,Dry
2009,7,7/24/2009,3190,5.5,Dry
2009,7,7/25/2009,5002,5.5,Dry
2009,7,7/26/2009,5800,5.5,Dry
2009,7,7/27/2009,5694,5.5,Dry
2009,7,7/28/2009,5197,5.5,Dry
2009,7,7/29/2009,3724,5.5,Dry
2009,7,7/30/2009,4731,5.5,Dry
2009,7,7/31/2009,7484,5.5,Dry
2009,8,8/1/2009,6825,5.5,Dry
2009,8,8/2/2009,6631,5.5,Dry
2009,8,8/3/2009,6407,5.5,Dry
2009,8,8/4/2009,5970,5.5,Dry
2009,8,8/5/2009,4193,5.5,Dry
2009,8,8/6/2009,4008,5.5,Dry
2009,8,8/7/2009,3439,5.5,Dry
2009,8,8/8/2009,3982,5.5,Dry
2009,8,8/9/2009,3931,5.5,Dry
2009,8,8/10/2009,4149,5.5,Dry
2009,8,8/11/2009,4496,5.5,Dry
2009,8,8/12/2009,4654,5.5,Dry
2009,8,8/13/2009,3916,5.5,Dry
2009,8,8/14/2009,3554,5.5,Dry
2009,8,8/15/2009,3569,5.5,Dry
2009,8,8/16/2009,3566,5.5,Dry
2009,8,8/17/2009,2995,5.5,Dry
2009,8,8/18/2009,3382,5.5,Dry
2009,8,8/19/2009,3246,5.5,Dry
2009,8,8/20/2009,3651,5.5,Dry
2009,8,8/21/2009,4309,5.5,Dry
2009,8,8/22/2009,3904,5.5,Dry
2009,8,8/23/2009,4224,5.5,Dry
2009,8,8/24/2009,4633,5.5,Dry
2009,9,9/7/2009,3540,5.5,Dry
2009,8,8/26/2009,3494,5.5,Dry
2009,8,8/27/2009,3812,5.5,Dry
2009,8,8/28/2009,4018,5.5,Dry
2009,8,8/29/2009,4180,5.5,Dry
2009,8,8/30/2009,3992,5.5,Dry
2009,8,8/31/2009,4123,5.5,Dry
2009,9,9/1/2009,4256,5.5,Dry
2009,9,9/2/2009,3951,5.5,Dry
2009,9,9/3/2009,4088,5.5,Dry
2009,9,9/4/2009,4435,5.5,Dry
2009,9,9/5/2009,4220,5.5,Dry
2009,9,9/6/2009,3864,5.5,Dry
2009,9,9/20/2009,3552,5.5,Dry
2009,9,9/8/2009,2626,5.5,Dry
2009,9,9/9/2009,2039,5.5,Dry
2009,9,9/10/2009,2638,5.5,Dry
2009,9,9/11/2009,2885,5.5,Dry
2009,9,9/12/2009,2886,5.5,Dry
2009,9,9/13/2009,4221,5.5,Dry
2009,9,9/14/2009,6943,5.5,Dry
2009,9,9/15/2009,6584,5.5,Dry
2009,9,9/16/2009,5702,5.5,Dry
2009,9,9/17/2009,5342,5.5,Dry
2009,9,9/18/2009,5394,5.5,Dry
2009,9,9/19/2009,2986,5.5,Dry
2009,9,9/24/2009,3575,5.5,Dry
2009,9,9/21/2009,3442,5.5,Dry
2009,9,9/22/2009,3467,5.5,Dry
2009,9,9/23/2009,3690,5.5,Dry
2009,9,9/28/2009,2550,5.5,Dry
2009,9,9/25/2009,3804,5.5,Dry
2009,9,9/26/2009,3756,5.5,Dry
2009,9,9/27/2009,3387,5.5,Dry
2009,9,9/29/2009,3191,5.5,Dry
2009,9,9/30/2009,3597,5.5,Dry
2016,9,9/30/2016,4321,7.1,Below Normal
2016,10,10/2/2015,6360,7.1,Below Normal
2016,10,10/4/2015,6190,7.1,Below Normal
2016,10,10/5/2015,6261,7.1,Below Normal
2016,10,10/6/2015,4701,7.1,Below Normal
2016,10,10/7/2015,4733,7.1,Below Normal
2016,10,10/8/2015,4762,7.1,Below Normal
2016,10,10/9/2015,4704,7.1,Below Normal
2016,10,10/10/2015,4516,7.1,Below Normal
2016,10,10/11/2015,3958,7.1,Below Normal
2016,10,10/12/2015,4135,7.1,Below Normal
2016,10,10/13/2015,3867,7.1,Below Normal
2016,10,10/14/2015,3645,7.1,Below Normal
2016,10,10/15/2015,3685,7.1,Below Normal
2016,10,10/16/2015,4018,7.1,Below Normal
2016,10,10/17/2015,4277,7.1,Below Normal
2016,10,10/18/2015,5048,7.1,Below Normal
2016,10,10/19/2015,5323,7.1,Below Normal
2016,10,10/20/2015,5137,7.1,Below Normal
2016,10,10/21/2015,4493,7.1,Below Normal
2016,10,10/22/2015,4489,7.1,Below Normal
2016,10,10/23/2015,4490,7.1,Below Normal
2016,10,10/24/2015,4135,7.1,Below Normal
2016,10,10/25/2015,3827,7.1,Below Normal
2016,10,10/26/2015,4198,7.1,Below Normal
2016,10,10/27/2015,4426,7.1,Below Normal
2016,10,10/28/2015,4910,7.1,Below Normal
2016,10,10/29/2015,5040,7.1,Below Normal
2016,10,10/30/2015,4832,7.1,Below Normal
2016,10,10/31/2015,4288,7.1,Below Normal
2016,7,7/1/2016,6394,7.1,Below Normal
2016,7,7/2/2016,6015,7.1,Below Normal
2016,7,7/3/2016,7310,7.1,Below Normal
2016,7,7/4/2016,6763,7.1,Below Normal
2016,7,7/5/2016,6880,7.1,Below Normal
2016,7,7/6/2016,6952,7.1,Below Normal
2016,7,7/7/2016,6559,7.1,Below Normal
2016,7,7/8/2016,6560,7.1,Below Normal
2016,7,7/9/2016,6482,7.1,Below Normal
2016,7,7/10/2016,6707,7.1,Below Normal
2016,7,7/11/2016,7187,7.1,Below Normal
2016,7,7/12/2016,7122,7.1,Below Normal
2016,7,7/13/2016,6305,7.1,Below Normal
2016,7,7/14/2016,6334,7.1,Below Normal
2016,7,7/15/2016,6082,7.1,Below Normal
2016,7,7/16/2016,9777,7.1,Below Normal
2016,7,7/17/2016,10016,7.1,Below Normal
2016,7,7/18/2016,13750,7.1,Below Normal
2016,7,7/19/2016,14082,7.1,Below Normal
2016,7,7/20/2016,13010,7.1,Below Normal
2016,7,7/21/2016,10808,7.1,Below Normal
2016,7,7/22/2016,8890,7.1,Below Normal
2016,7,7/23/2016,8943,7.1,Below Normal
2016,7,7/24/2016,9117,7.1,Below Normal
2016,7,7/25/2016,8880,7.1,Below Normal
2016,7,7/26/2016,8252,7.1,Below Normal
2016,7,7/27/2016,8143,7.1,Below Normal
2016,7,7/28/2016,8090,7.1,Below Normal
2016,7,7/29/2016,8241,7.1,Below Normal
2016,7,7/30/2016,8135,7.1,Below Normal
2016,7,7/31/2016,8027,7.1,Below Normal
2016,8,8/1/2016,7421,7.1,Below Normal
2016,8,8/2/2016,7382,7.1,Below Normal
2016,8,8/3/2016,7293,7.1,Below Normal
2016,8,8/4/2016,7112,7.1,Below Normal
2016,8,8/5/2016,7417,7.1,Below Normal
2016,8,8/6/2016,8089,7.1,Below Normal
2016,8,8/7/2016,8090,7.1,Below Normal
2016,8,8/8/2016,9768,7.1,Below Normal
2016,8,8/9/2016,8177,7.1,Below Normal
2016,8,8/10/2016,8195,7.1,Below Normal
2016,8,8/11/2016,8474,7.1,Below Normal
2016,8,8/12/2016,8567,7.1,Below Normal
2016,8,8/13/2016,8059,7.1,Below Normal
2016,8,8/14/2016,7858,7.1,Below Normal
2016,8,8/15/2016,7670,7.1,Below Normal
2016,8,8/16/2016,5755,7.1,Below Normal
2016,8,8/17/2016,5340,7.1,Below Normal
2016,8,8/18/2016,4661,7.1,Below Normal
2016,8,8/19/2016,4144,7.1,Below Normal
2016,8,8/20/2016,3847,7.1,Below Normal
2016,8,8/21/2016,3645,7.1,Below Normal
2016,8,8/22/2016,3786,7.1,Below Normal
2016,8,8/23/2016,3945,7.1,Below Normal
2016,8,8/24/2016,4077,7.1,Below Normal
2016,8,8/25/2016,4164,7.1,Below Normal
2016,8,8/26/2016,4286,7.1,Below Normal
2016,8,8/27/2016,4623,7.1,Below Normal
2016,8,8/28/2016,4923,7.1,Below Normal
2016,8,8/29/2016,5382,7.1,Below Normal
2016,8,8/30/2016,4943,7.1,Below Normal
2016,8,8/31/2016,4958,7.1,Below Normal
2016,9,9/1/2016,5127,7.1,Below Normal
2016,9,9/2/2016,5167,7.1,Below Normal
2016,9,9/3/2016,5062,7.1,Below Normal
2016,9,9/4/2016,4833,7.1,Below Normal
2016,9,9/5/2016,4826,7.1,Below Normal
2016,9,9/6/2016,4636,7.1,Below Normal
2016,9,9/7/2016,4469,7.1,Below Normal
2016,9,9/8/2016,4625,7.1,Below Normal
2016,9,9/9/2016,6512,7.1,Below Normal
2016,9,9/10/2016,7503,7.1,Below Normal
2016,9,9/11/2016,7179,7.1,Below Normal
2016,9,9/12/2016,7090,7.1,Below Normal
2016,9,9/13/2016,8166,7.1,Below Normal
