Week,EndWeek,region,catch,CPUE,Stations,Trawls
12,9/23/2018,Cache Slough/Liberty Island,0,0,6,24
12,9/23/2018,Lower Sacramento,13,0.590909091,6,22
12,9/23/2018,Lower San Joaquin,0,0,6,24
12,9/23/2018,Sac Deep Water Shipping Channel,2,0.083333333,6,24
12,9/23/2018,Suisun Bay,0,0,7,28
12,9/23/2018,Suisun Marsh,0,0,6,24
13,9/30/2018,Cache Slough/Liberty Island,0,0,6,24
13,9/30/2018,Lower Sacramento,3,0.111111111,7,27
13,9/30/2018,Lower San Joaquin,0,0,6,24
13,9/30/2018,Sac Deep Water Shipping Channel,12,0.545454545,7,22
13,9/30/2018,Suisun Bay,0,0,6,24
13,9/30/2018,Suisun Marsh,0,0,6,25
14,10/7/2018,Cache Slough/Liberty Island,0,0,7,29
14,10/7/2018,Lower Sacramento,0,0,8,32
14,10/7/2018,Lower San Joaquin,0,0,7,28
14,10/7/2018,Sac Deep Water Shipping Channel,4,0.153846154,7,26
14,10/7/2018,Suisun Bay,0,0,6,24
14,10/7/2018,Suisun Marsh,0,0,6,24
15,10/14/2018,Cache Slough/Liberty Island,0,0,6,24
15,10/14/2018,Lower Sacramento,4,0.153846154,7,26
15,10/14/2018,Lower San Joaquin,0,0,7,28
15,10/14/2018,Sac Deep Water Shipping Channel,3,0.115384615,7,26
15,10/14/2018,Suisun Bay,0,0,6,24
15,10/14/2018,Suisun Marsh,0,0,6,24
16,10/21/2018,Cache Slough/Liberty Island,0,0,7,28
16,10/21/2018,Lower Sacramento,0,0,6,24
16,10/21/2018,Lower San Joaquin,0,0,6,24
16,10/21/2018,Sac Deep Water Shipping Channel,17,0.708333333,7,24
16,10/21/2018,Suisun Bay,0,0,6,24
16,10/21/2018,Suisun Marsh,0,0,6,24
17,10/28/2018,Cache Slough/Liberty Island,0,0,6,25
17,10/28/2018,Lower Sacramento,0,0,8,32
17,10/28/2018,Lower San Joaquin,0,0,7,29
17,10/28/2018,Sac Deep Water Shipping Channel,0,0,6,24
17,10/28/2018,Suisun Bay,0,0,6,24
17,10/28/2018,Suisun Marsh,0,0,5,20
