SampleNo,Station,Year,Month,Date,Microcystis,Region,Acartiella,Tortanus,Limnoithona,Pseudodiaptomus,Other_Calanoids,Other_Cyclopoids,Other
31,610,2018,Jul,7/12/2018,1,Suisun Marsh,688.6774721,99.75539457,10.57257401,2011.18222,123.7915789,14.89866879,46.02228496
32,610,2018,Aug,8/9/2018,1,Suisun Marsh,2471.309889,0,18.99354752,427.1337583,0,38.02688599,110.9725425
33,610,2018,Aug,8/23/2018,1,Suisun Marsh,1654.769756,34.75422273,3.489414915,248.535545,0,0,57.28237516
34,610,2018,Sep,9/24/2018,2,Suisun Marsh,845.4099716,52.85849178,4.555906495,764.1086563,4.326448431,0,11.9717251
35,610,2018,Oct,10/9/2018,1,Suisun Marsh,1944.954075,251.6692041,6.317459102,225.6077061,132.8645565,13.2999139,45.12470787
36,610,2018,Oct,10/22/2018,1,Suisun Marsh,8725.729153,630.3494072,75.55666612,1987.514087,14.30629435,16.65597679,138.7998066
37,801,2018,Aug,8/8/2018,2,River,2298.993371,0,0.347386228,1693.125735,0,21.88533235,29.09359657
38,801,2018,Aug,8/22/2018,2,River,1485.493873,0,0,966.3999409,0,0,21.7223198
39,801,2018,Jul,7/11/2018,2,River,2380.216455,0,2.864849988,1945.09313,0,0,5.385056368
40,801,2018,Jul,7/25/2018,4,River,1659.677321,0,2.532248146,546.8894416,0,0,13.70841101
41,802,2018,Sep,9/7/2018,2,River,1520.150829,26.98850243,9.619832332,2133.918543,0,34.22799503,14.60122804
42,802,2018,Sep,9/24/2018,1,River,3211.059689,31.74726882,1.382052719,2871.026788,0,33.55272497,35.94934818
43,802,2018,Oct,10/4/2018,1,River,4312.11349,88.31170382,1.970466235,336.3571047,0,0,4.07427229
44,802,2018,Oct,10/22/2018,1,River,2350.960967,31.93814556,5.61203149,2195.154255,0,13.50263216,6.22889281
45,Mont,2018,Aug,8/23/2018,1,Suisun Marsh,895.4052223,49.04668797,0.410393803,47.8216779,0,0,21.59967385
46,Mont,2018,Sep,9/13/2018,1,Suisun Marsh,2430.201547,0,0.681601524,269.6067139,0,0,6.149788183
47,Mont,2018,Aug,8/9/2018,1,Suisun Marsh,3719.827139,0,0.596402096,589.4111877,3.235369268,3.766750083,18.16111647
48,Mont,2018,Jul,7/26/2018,1,Suisun Marsh,1271.05009,133.7914554,2.111458782,375.0075849,24.72907819,4.040148922,30.06063186
49,Mont,2018,Oct,10/22/2018,1,Suisun Marsh,2474.434974,215.3917458,7.208933991,371.0523242,26.89347931,22.76505471,12.19556502
50,Mont,2018,Sep,9/24/2018,1,Suisun Marsh,2476.821963,0,0.538326929,168.8322772,5.840644803,6.799919105,76.49908994
51,Mont,2018,Oct,10/9/2018,1,Suisun Marsh,4554.611269,300.4127019,1.508186976,195.9131101,0,0,23.05749511
52,NZ032,2018,Oct,10/18/2018,NA,Suisun Marsh,5549.072624,1522.99968,20.32484248,35.77545705,79.33395545,29.20851593,4.422182578
53,NZ032,2018,Sep,9/19/2018,NA,Suisun Marsh,2081.618433,672.070999,2.570698692,141.112996,0,0.48563011,7.006603577
